Sample	Sample_name	    Area	SRA	Sample Name	BioSample	Bases	Bytes	Collection_Date	Experiment	isolation_source	Library Name	ReleaseDate	create_date		Sampling	Date	Coordinates			
SRR28149503	M2_1A	1	SRS20604429 	20SMO1A	SAMN40160558	26.26 G	7.79 Gb	2020-07	SRX23780320	Hypersaline soil_Area1A_2020	20SMO1A_1	2/28/24	2024-02-2811:33:00Z		M2	        July 2020	37°12′26.6″N 6°57′52.5″W			
SRR28149501	M2_1B	1	SRS20617295 	20SMO1B	SAMN40160559	26.34 G	6.25 Gb	2020-07	SRX23780322	Hypersaline soil_Area1B_2020	20SMO1B_1	2/29/24	2024-02-2811:48:00Z		M2	        July 2020	37°12′26.6″N 6°57′52.5″W			
SRR28149500	M2_1C	1	SRS20617297 	20SMO1C	SAMN40160560	20.56 G	4.89 Gb	2020-07	SRX23780323	Hypersaline soil_Area1C_2020	20SMO1C_1	2/29/24	2024-02-2811:51:00Z		M2	        July 2020	37°12′26.6″N 6°57′52.5″W			
SRR28149499	M2_2A	2	SRS20617301	20SMO2A	SAMN40160561	23.99 G	5.69 Gb	2020-07	SRX23780324	Hypersaline soil_Area2A_2020	20SMO2A_1	2/29/24	2024-02-2811:51:00Z		M2	        July 2020	37°12′28.4″N 6°57′27.9″W			
SRR28149497	M2_2B	2	SRS20604431 	20SMO2B	SAMN40160562	21.64 G	6.66 Gb	2020-07	SRX23780326	Hypersaline soil_Area2B_2020	20SMO2B_1	2/28/24	2024-02-2811:49:00Z		M2	        July 2020	37°12′28.4″N 6°57′27.9″W			
SRR28149498	M2_2C	2	SRS20604430 	20SMO2C	SAMN40160563	22.65 G	7.11 Gb	2020-07	SRX23780325	Hypersaline soil_Area2C_2020	20SMO2C_1	2/28/24	2024-02-2811:37:00Z		M2	        July 2020	37°12′28.4″N 6°57′27.9″W			
SRR28149496	M2_3A	3	SRS20617303 	20SMO3A	SAMN40160564	24.04 G	5.71 Gb	2020-07	SRX23780327	Hypersaline soil_Area3A_2020	20SMO3A_1	2/29/24	2024-02-2811:39:00Z		M2	        July 2020	37°13′18.0″N 6°57′44.8″W			
SRR28149495	M2_3B	3	SRS20617302 	20SMO3B	SAMN40160565	25.80 G	6.12 Gb	2020-07	SRX23780328	Hypersaline soil_Area3B_2020	20SMO3B_1	2/29/24	2024-02-2811:32:00Z		M2	        July 2020	37°13′18.0″N 6°57′44.8″W			
SRR28149494	M2_3C	3	SRS20604432 	20SMO3C	SAMN40160566	25.52 G	7.55 Gb	2020-07	SRX23780329	Hypersaline soil_Area3C_2020	20SMO3C_1	2/28/24	2024-02-2811:33:00Z		M2	        July 2020	37°13′18.0″N 6°57′44.8″W			
SRR28149508	M3_1A	1	SRS20604428 	21SMO1A	SAMN40160549	25.33 G	7.47 Gb	2021-06	SRX23780315	Hypersaline soil_Area1A_2021	21SMO1A_1	2/28/24	2024-02-2811:31:00Z		M3	        June 2021	37°12′26.6″N 6°57′52.5″W			
SRR28149502	M3_1B	1	SRS20617304 	21SMO1B	SAMN40160550	26.11 G	6.19 Gb	2021-06	SRX23780321	Hypersaline soil_Area1B_2021	21SMO1B_1	2/29/24	2024-02-2811:34:00Z		M3	        June 2021	37°12′26.6″N 6°57′52.5″W			
SRR28149493	M3_1C	1	SRS20617300	21SMO1C	SAMN40160551	25.11 G	5.96 Gb	2021-06	SRX23780330	Hypersaline soil_Area1C_2021	21SMO1C_1	2/29/24	2024-02-2811:30:00Z		M3	        June 2021	37°12′26.6″N 6°57′52.5″W			
SRR28149492	M3_2A	2	SRS20617299 	21SMO2A	SAMN40160552	24.50 G	5.81 Gb	2021-06	SRX23780331	Hypersaline soil_Area2A_2021	21SMO2A_1	2/29/24	2024-02-2811:43:00Z		M3	        June 2021	37°12′28.4″N 6°57′27.9″W			
SRR28149491	M3_2B	2	SRS20604433 	21SMO2B	SAMN40160553	16.08 G	4.81 Gb	2021-06	SRX23780332	Hypersaline soil_Area2B_2021	21SMO2B_1	2/28/24	2024-02-2811:27:00Z		M3	        June 2021	37°12′28.4″N 6°57′27.9″W			
SRR28149507	M3_2C	2	SRS20617296 	21SMO2C	SAMN40160554	16.80 G	3.99 Gb	2021-06	SRX23780316	Hypersaline soil_Area2C_2021	21SMO2C_1	2/29/24	2024-02-2811:29:00Z		M3	        June 2021	37°12′28.4″N 6°57′27.9″W			
SRR28149506	M3_3A	3	SRS20617298 	21SMO3A	SAMN40160555	18.89 G	4.49 Gb	2021-06	SRX23780317	Hypersaline soil_Area3A_2021	21SMO3A_1	2/29/24	2024-02-2811:29:00Z		M3	        June 2021	37°13′18.0″N 6°57′44.8″W			
SRR28149505	M3_3B	3	SRS20604749 	21SMO3B	SAMN40160556	28.88 G	8.54 Gb	2021-06	SRX23780318	Hypersaline soil_Area3B_2021	21SMO3B_1	2/28/24	2024-02-2811:35:00Z		M3	        June 2021	37°13′18.0″N 6°57′44.8″W			
SRR28149504	M3_3C	3	SRS20604748 	21SMO3C	SAMN40160557	23.06 G	6.82 Gb	2021-06	SRX23780319	Hypersaline soil_Area3C_2021	21SMO3C_1	2/28/24	2024-02-2811:32:00Z		M3	        June 2021	37°13′18.0″N 6°57′44.8″W			
